systemNumber,accessionNumber,objectType,_primaryTitle,_primaryImageId,_primaryDate,_primaryPlace,_warningTypes,_currentLocation.id,_currentLocation.displayName,_currentLocation.type,_currentLocation.site,_currentLocation.onDisplay,_primaryMaker.name,_primaryMaker.association,_images._primary_thumbnail,_images._iiif_image_base_url,_images._iiif_presentation_url,_images.imageResolution
O68331,IS.41-1964,Painting,A Vegetable Seller,2011ER7324,ca. 1826,Patna,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011ER7324/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011ER7324/,https://iiif.vam.ac.uk/collections/O68331/manifest.json,high
O68330,IS.51-1964,Painting,A water-carrier,2011EW6850,ca. 1826,Patna,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6850/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6850/,https://iiif.vam.ac.uk/collections/O68330/manifest.json,high
O68329,IS.49-1964,Painting,A silversmith with an assistant,2011EN6686,ca. 1826,Patna,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EN6686/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EN6686/,https://iiif.vam.ac.uk/collections/O68329/manifest.json,high
O68328,IS.48-1964,Painting,A lapidary,2011EW7131,ca. 1826,Patna,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW7131/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW7131/,https://iiif.vam.ac.uk/collections/O68328/manifest.json,high
O68327,IS.47-1964,Painting,Blacksmith,2011EW6802,ca. 1826,Patna,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6802/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6802/,https://iiif.vam.ac.uk/collections/O68327/manifest.json,high
O68326,IS.46-1964,Painting,Maker of earthen pots,2011EW7130,ca. 1826,Patna,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW7130/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW7130/,https://iiif.vam.ac.uk/collections/O68326/manifest.json,high
O68325,IS.45-1964,Painting,Mason,2011EW6848,ca. 1826,Patna,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6848/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6848/,https://iiif.vam.ac.uk/collections/O68325/manifest.json,high
O68324,IS.44-1964,Painting,Hookah Maker,2011EW6806,ca. 1826,Patna,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6806/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6806/,https://iiif.vam.ac.uk/collections/O68324/manifest.json,high
O68323,IS.43-1964,Painting,Tinman,2011EW6805,ca. 1826,Patna,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6805/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6805/,https://iiif.vam.ac.uk/collections/O68323/manifest.json,high
O68322,IS.38-1964,Painting,Traveller's cook,2011EW6816,ca. 1826,Patna,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6816/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6816/,https://iiif.vam.ac.uk/collections/O68322/manifest.json,high
