systemNumber,accessionNumber,objectType,_primaryTitle,_primaryImageId,_primaryDate,_primaryPlace,_warningTypes,_currentLocation.id,_currentLocation.displayName,_currentLocation.type,_currentLocation.site,_currentLocation.onDisplay,_primaryMaker.name,_primaryMaker.association,_images._primary_thumbnail,_images._iiif_image_base_url,_images._iiif_presentation_url,_images.imageResolution
O93495,1254-1886,Painting,Interior of a studio,,1850-1859,France,[],THES252785,In store,storage,MOC,False,"Patrois, Isidore",artist,,,,
O68533,D.304-1886,Painting,"White hibiscus (hibiscus syriacus), mu jin",,1800-1840,Guangzhou,[],THES49632,In store,storage,VA,False,,,,,,
O68532,D.103-1890,Painting,Cotton rose hibiscus,2006AG1271,1800-1830,Canton,[],THES49632,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2006AG1271/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2006AG1271/,https://iiif.vam.ac.uk/collections/O68532/manifest.json,high
O68504,D.1277-1889,Painting,"Fragrant glorybower (clerodendrum fragrans), chou mo li",,1770-1790,Canton,[],THES49632,In store,storage,VA,False,Unknown,,,,,
O68501,D.102-1890,Painting,Camellia,2006AG1485,1800-1830,Canton,[],THES49632,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2006AG1485/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2006AG1485/,https://iiif.vam.ac.uk/collections/O68501/manifest.json,high
O68499,D.312-1886,Painting,"Mock lime (aglaia odorata), zhen zhu lan or mi zi lan",,1800-1840,Guangzhou,[],THES49632,In store,storage,VA,False,,,,,,
O68284,IS.11:11-1887,Painting,Hook-swinging festival,2011EU1003,ca. 1795 - ca. 1805,Murshidabad,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EU1003/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EU1003/,https://iiif.vam.ac.uk/collections/O68284/manifest.json,high
O68276,IS.11:14-1887,Painting,"Mosque of Asaf ud-Daula, Lucknow",2006AH4086,ca. 1795 - ca. 1805,Lucknow,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2006AH4086/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2006AH4086/,https://iiif.vam.ac.uk/collections/O68276/manifest.json,high
O68274,IS.11:5-1887,Painting,The Chait festival,2006BF8080,ca. 1795 - ca. 1805,Murshidabad,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2006BF8080/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2006BF8080/,https://iiif.vam.ac.uk/collections/O68274/manifest.json,high
O68272,IS.11:2-1887,Painting,Mahomedan wedding at night,2013GK3327,ca. 1810,Murshidabad,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2013GK3327/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2013GK3327/,https://iiif.vam.ac.uk/collections/O68272/manifest.json,high
