systemNumber,accessionNumber,objectType,_primaryTitle,_primaryImageId,_primaryDate,_primaryPlace,_warningTypes,_currentLocation.id,_currentLocation.displayName,_currentLocation.type,_currentLocation.site,_currentLocation.onDisplay,_primaryMaker.name,_primaryMaker.association,_images._primary_thumbnail,_images._iiif_image_base_url,_images._iiif_presentation_url,_images.imageResolution
O74119,D.1201-1903,Painting,Nawab Aliverdi Khan ,2006BB9243,ca. 1750 - ca. 1755,Murshidabad,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2006BB9243/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2006BB9243/,https://iiif.vam.ac.uk/collections/O74119/manifest.json,high
O68315,IS.170-1949,Painting,,2013GB0987,ca. 1562 - ca. 1577,Mughal Empire,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2013GB0987/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2013GB0987/,https://iiif.vam.ac.uk/collections/O68315/manifest.json,high
O68314,IS.7-1949,Painting,,2013GL0477,1562-1577,Mughal Empire,[],THES49192,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2013GL0477/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2013GL0477/,https://iiif.vam.ac.uk/collections/O68314/manifest.json,high
O68305,IS.95-1949,Painting,A parakeet,2011EX3652,ca. 1880,Patna,[],THES49620,In store,storage,VA,False,Bahadur Lal II,artist,"https://framemark.vam.ac.uk/collections/2011EX3652/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EX3652/,https://iiif.vam.ac.uk/collections/O68305/manifest.json,high
O68303,IS.99-1949,Painting,A caravan with camels resting at an oasis in the desert.,2011EX3645,ca. 1850,Patna,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EX3645/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EX3645/,https://iiif.vam.ac.uk/collections/O68303/manifest.json,high
O68302,IS.98-1949,Painting,A woman drawing water from a well.,2011EX3646,ca. 1880,Patna,[],THES49620,In store,storage,VA,False,Bani Lal,artist,"https://framemark.vam.ac.uk/collections/2011EX3646/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EX3646/,https://iiif.vam.ac.uk/collections/O68302/manifest.json,high
O68301,IS.97-1949,Painting,A woman drawing water from a well,2011EX3647,ca. 1880,Patna,[],THES49620,In store,storage,VA,False,Bani Lal,artist,"https://framemark.vam.ac.uk/collections/2011EX3647/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EX3647/,https://iiif.vam.ac.uk/collections/O68301/manifest.json,high
O68300,IS.87-1949,Painting,Oxen drawing water,2006AJ6311,ca. 1805,Patna,[],THES49620,In store,storage,VA,False,Sewak Ram,artist,"https://framemark.vam.ac.uk/collections/2006AJ6311/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2006AJ6311/,https://iiif.vam.ac.uk/collections/O68300/manifest.json,high
O68299,IS.86-1949,Painting,A toddy-tapper,2006AJ6310,ca. 1805,Patna,[],THES49620,In store,storage,VA,False,Sewak Ram,artist,"https://framemark.vam.ac.uk/collections/2006AJ6310/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2006AJ6310/,https://iiif.vam.ac.uk/collections/O68299/manifest.json,high
O68297,IS.66-1949,Painting,,2006BF7536,ca. 1850,Patna,[],THES49620,In store,storage,VA,False,Shiva Dayal Lal,artist,"https://framemark.vam.ac.uk/collections/2006BF7536/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2006BF7536/,https://iiif.vam.ac.uk/collections/O68297/manifest.json,high
O68231,IM.438-1923,Painting,Vishnu as a child,2011EW6784,ca. 1825,Trichinopoly,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6784/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6784/,https://iiif.vam.ac.uk/collections/O68231/manifest.json,high
O68230,IM.432-1923,Painting,Matsya,2011EW6780,ca. 1825,Trichinopoly,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6780/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6780/,https://iiif.vam.ac.uk/collections/O68230/manifest.json,high
O68229,IM.431-1923,Painting,Kurma,2011EW6782,ca. 1825,Trichinopoly,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6782/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6782/,https://iiif.vam.ac.uk/collections/O68229/manifest.json,high
O68227,IM.430-1923,Painting,Varaha,2011EW6781,ca. 1825,Trichinopoly,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6781/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6781/,https://iiif.vam.ac.uk/collections/O68227/manifest.json,high
O68226,IM.429-1923,Painting,"Narasimha, the man-lion, the fourth avatar (incarnation) of Vishnu",2011EW6778,ca. 1825,Trichinopoly,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6778/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6778/,https://iiif.vam.ac.uk/collections/O68226/manifest.json,high
O68224,IM.428-1923,Painting,Vamana,2011EW6775,ca. 1825,Trichinopoly,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6775/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6775/,https://iiif.vam.ac.uk/collections/O68224/manifest.json,high
O68223,IM.427-1923,Painting,Parasurama Holding an axe and a Lotus Bud,2011EW6777,ca. 1825,Trichinopoly,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6777/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6777/,https://iiif.vam.ac.uk/collections/O68223/manifest.json,high
O68221,IM.426-1923,Painting,Rama holding a bow and a crescent tipped arrow,2011EW6776,ca. 1825,Trichinopoly,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6776/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6776/,https://iiif.vam.ac.uk/collections/O68221/manifest.json,high
O68220,IM.424-1923,Painting,Krishna Holding a Flute and Dancing on a Lotus,2011EW6773,ca. 1825,Tiruchchirappalli,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6773/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6773/,https://iiif.vam.ac.uk/collections/O68220/manifest.json,high
O68218,IM.423-1923,Painting,"Kalki, the tenth and last avatara of Vishnu",2011EW6772,ca. 1825,Tiruchchirappalli,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6772/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6772/,https://iiif.vam.ac.uk/collections/O68218/manifest.json,high
O68216,IM.421-1923,Painting,Garuda returning with the vase of Amrita,2011EW6771,ca. 1825,Tiruchchirappalli,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6771/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6771/,https://iiif.vam.ac.uk/collections/O68216/manifest.json,high
O68215,IM.407-1923,Painting,"Hari-hara, the union of Vishnu and Shiva",2011EN6923,ca. 1825,Trichinopoly,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EN6923/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EN6923/,https://iiif.vam.ac.uk/collections/O68215/manifest.json,high
O68214,IM.409-1923,Painting,"Krishna in his form as Venu-Gopala, fluting beneath the kadam tree",2011EN6917,ca. 1825,Tiruchchirappalli,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EN6917/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EN6917/,https://iiif.vam.ac.uk/collections/O68214/manifest.json,high
O68212,IM.414-1923,Painting,"Ravana, King of Lanka, with bow",2011EN6912,ca. 1825,Tiruchchirappalli,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EN6912/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EN6912/,https://iiif.vam.ac.uk/collections/O68212/manifest.json,high
O68210,IM.434-1923,Painting,Personification of the chakra of Vishnu,2011EW6783,ca. 1825,Tiruchchirappalli,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6783/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6783/,https://iiif.vam.ac.uk/collections/O68210/manifest.json,high
O68208,IM.443-1923,Painting,"Sarasvati, the goddess of learning, speech and music",2011EW6797,ca. 1825,Tiruchchirappalli,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6797/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6797/,https://iiif.vam.ac.uk/collections/O68208/manifest.json,high
O68204,IM.444-1923,Painting,"Ganesha, the god of wisdom and the remover of obstacles",2011EW6798,ca. 1825,Tiruchchirappalli,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6798/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6798/,https://iiif.vam.ac.uk/collections/O68204/manifest.json,high
O68203,IM.450-1923,Painting,Krishna steals the gopis' clothes,2011EW6807,ca. 1825,Tiruchchirappalli,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6807/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6807/,https://iiif.vam.ac.uk/collections/O68203/manifest.json,high
O68202,IM.452-1923,Painting,Krishna seated on a hill being fed by Yasoda,2011EW6792,ca. 1825,Tiruchchirappalli,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6792/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6792/,https://iiif.vam.ac.uk/collections/O68202/manifest.json,high
O68166,IM.454-1923,Painting,Yasoda protecting Krishna from the playful approaches of a gazelle,2011EW6791,ca. 1825,Trichinopoly,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6791/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6791/,https://iiif.vam.ac.uk/collections/O68166/manifest.json,high
O68058,IM.24-1913,Painting,Ruined Mosque - Dacca,2007BM6716,1863,Dhaka,[],THES49620,In store,storage,VA,False,Frederick William Alexander De Fabeck,maker,"https://framemark.vam.ac.uk/collections/2007BM6716/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2007BM6716/,https://iiif.vam.ac.uk/collections/O68058/manifest.json,high
