systemNumber,accessionNumber,objectType,_primaryTitle,_primaryImageId,_primaryDate,_primaryPlace,_warningTypes,_currentLocation.id,_currentLocation.displayName,_currentLocation.type,_currentLocation.site,_currentLocation.onDisplay,_primaryMaker.name,_primaryMaker.association,_images._primary_thumbnail,_images._iiif_image_base_url,_images._iiif_presentation_url,_images.imageResolution
O93495,1254-1886,Painting,Interior of a studio,,1850-1859,France,[],THES252785,In store,storage,MOC,False,"Patrois, Isidore",artist,,,,
O74119,D.1201-1903,Painting,Nawab Aliverdi Khan ,2006BB9243,ca. 1750 - ca. 1755,Murshidabad,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2006BB9243/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2006BB9243/,https://iiif.vam.ac.uk/collections/O74119/manifest.json,high
O68533,D.304-1886,Painting,"White hibiscus (hibiscus syriacus), mu jin",,1800-1840,Guangzhou,[],THES49632,In store,storage,VA,False,,,,,,
O68532,D.103-1890,Painting,Cotton rose hibiscus,2006AG1271,1800-1830,Canton,[],THES49632,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2006AG1271/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2006AG1271/,https://iiif.vam.ac.uk/collections/O68532/manifest.json,high
O68504,D.1277-1889,Painting,"Fragrant glorybower (clerodendrum fragrans), chou mo li",,1770-1790,Canton,[],THES49632,In store,storage,VA,False,Unknown,,,,,
O68501,D.102-1890,Painting,Camellia,2006AG1485,1800-1830,Canton,[],THES49632,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2006AG1485/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2006AG1485/,https://iiif.vam.ac.uk/collections/O68501/manifest.json,high
O68499,D.312-1886,Painting,"Mock lime (aglaia odorata), zhen zhu lan or mi zi lan",,1800-1840,Guangzhou,[],THES49632,In store,storage,VA,False,,,,,,
O68497,506,Painting,Madagascar periwinkle (catharanthus roseus) and butterflies,2015HN3282,1800-1840,Guangzhou,[],THES49632,In store,storage,VA,False,,,"https://framemark.vam.ac.uk/collections/2015HN3282/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2015HN3282/,https://iiif.vam.ac.uk/collections/O68497/manifest.json,high
O68331,IS.41-1964,Painting,A Vegetable Seller,2011ER7324,ca. 1826,Patna,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011ER7324/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011ER7324/,https://iiif.vam.ac.uk/collections/O68331/manifest.json,high
O68330,IS.51-1964,Painting,A water-carrier,2011EW6850,ca. 1826,Patna,[],THES49620,In store,storage,VA,False,Unknown,,"https://framemark.vam.ac.uk/collections/2011EW6850/full/!100,100/0/default.jpg",https://framemark.vam.ac.uk/collections/2011EW6850/,https://iiif.vam.ac.uk/collections/O68330/manifest.json,high
